HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Eastleigh,Maidenhead United,1,0,0,0
Grimsby Town,Notts County,0,1,0,0
Solihull Moors,Yeovil Town,0,0,0,0
Weymouth,King's Lynn Town,1,0,0,0
Woking,Altrincham,3,2,1,1
Wrexham,Torquay United,1,1,1,0
Barnet,Aldershot Town,2,1,1,1
Woking,Bromley,0,2,0,0
Southend United,Dover Athletic,4,1,1,1
Aldershot Town,Wrexham,0,5,0,1
Aldershot Town,Grimsby Town,2,1,1,1
Altrincham,Boreham Wood,1,1,1,0
Chesterfield,Weymouth,4,0,0,1
King's Lynn Town,Wrexham,2,6,1,1
Maidenhead United,Dagenham & Redbridge,1,4,1,1
Notts County,Solihull Moors,2,0,0,0
Southend United,Woking,0,2,0,0
Torquay United,Dover Athletic,2,1,1,1
Wealdstone,Barnet,1,0,0,0
Yeovil Town,Eastleigh,2,1,1,1
Stockport County,Bromley,1,1,1,0
Grimsby Town,Southend United,1,0,0,0
Barnet,Torquay United,2,1,1,1
Boreham Wood,Maidenhead United,4,0,0,1
Bromley,King's Lynn Town,3,2,1,1
Dagenham & Redbridge,Yeovil Town,0,1,0,0
Dover Athletic,Halifax Town,1,3,1,1
Eastleigh,Notts County,2,0,0,0
Solihull Moors,Chesterfield,0,2,0,0
Weymouth,Altrincham,1,4,1,1
Woking,Stockport County,1,2,1,1
Wrexham,Wealdstone,0,0,0,0
Aldershot Town,Torquay United,1,0,0,0
Boreham Wood,Notts County,1,1,1,0
Bromley,Yeovil Town,1,2,1,1
Chesterfield,Altrincham,2,2,1,1
Dagenham & Redbridge,Eastleigh,0,1,0,0
Dover Athletic,Wealdstone,2,3,1,1
Halifax Town,Wrexham,1,2,1,1
Solihull Moors,Grimsby Town,2,0,0,0
Stockport County,King's Lynn Town,5,0,0,1
Weymouth,Woking,2,3,1,1
Altrincham,Southend United,1,2,1,1
King's Lynn Town,Aldershot Town,0,1,0,0
Torquay United,Halifax Town,2,3,1,1
Wealdstone,Stockport County,1,4,1,1
Woking,Barnet,1,2,1,1
Wrexham,Bromley,2,0,0,0
Yeovil Town,Dover Athletic,1,1,1,0
Notts County,Dagenham & Redbridge,2,1,1,1
Wrexham,Yeovil Town,0,2,0,0
Aldershot Town,Altrincham,2,2,1,1
Barnet,Maidenhead United,3,0,0,1
Bromley,Wealdstone,3,2,1,1
Dagenham & Redbridge,Grimsby Town,3,2,1,1
Dover Athletic,Wrexham,0,1,0,0
Solihull Moors,Woking,2,0,0,0
Weymouth,Torquay United,1,2,1,1
Southend United,Maidenhead United,1,1,1,0
Altrincham,Bromley,0,1,0,0
Eastleigh,Aldershot Town,0,3,0,1
Grimsby Town,Chesterfield,0,1,0,0
King's Lynn Town,Dover Athletic,2,1,1,1
Maidenhead United,Solihull Moors,0,4,0,1
Notts County,Southend United,4,1,1,1
Torquay United,Stockport County,2,1,1,1
Wealdstone,Halifax Town,0,1,0,0
Woking,Boreham Wood,0,2,0,0
